Gambler #,Round #,OptimalArm,Average reward, Times optimal action picked,Probability of Picking Optimal
0,4800,7,426.6,2264,0.6356115086773355,0.9976895218070714
0,4900,7,436.1,2328,0.6406820294501904,0.9976895218070714
0,5000,7,445.3,2388,0.6288649006649447,0.9976895218070714
1,0,5,0.0,0,0.1,0.8519571134126942
1,100,5,5.3,18,0.1744341740843207,0.8519571134126942
1,200,5,11.7,33,0.1765327376635411,0.8519571134126942
1,300,5,18.4,58,0.23418324162930132,0.8519571134126942
1,400,5,24.4,72,0.18364529102038205,0.8519571134126942
1,500,5,30.8,96,0.2143168398463886,0.8519571134126942
1,600,5,37.3,129,0.27441164699984577,0.8519571134126942
1,700,5,43.5,163,0.28938896937392417,0.8519571134126942
1,800,5,50.2,193,0.29760195011973656,0.8519571134126942
1,900,5,57.9,226,0.2911679453742157,0.8519571134126942
1,1000,5,65.6,250,0.24263106066379003,0.8519571134126942
1,1100,5,72.9,273,0.23526657910267126,0.8519571134126942
1,1200,5,80.2,302,0.267399494309963,0.8519571134126942
1,1300,5,86.5,333,0.28168797043126315,0.8519571134126942
1,1400,5,93.0,361,0.2782976278069793,0.8519571134126942
1,1500,5,100.1,386,0.2448592827387587,0.8519571134126942
1,1600,5,107.2,415,0.277769412676695,0.8519571134126942
1,1700,5,113.5,438,0.22957025806024628,0.8519571134126942
1,1800,5,119.1,455,0.20656359597576118,0.8519571134126942
1,1900,5,125.1,470,0.19052999549535873,0.8519571134126942
1,2000,5,131.5,501,0.2597326722402192,0.8519571134126942
1,2100,5,138.4,536,0.3201739477571206,0.8519571134126942
1,2200,5,145.8,570,0.29431057346222084,0.8519571134126942
1,2300,5,152.7,603,0.32748362261190583,0.8519571134126942
1,2400,5,159.0,641,0.3067851162343684,0.8519571134126942
1,2500,5,165.7,674,0.33149923593491515,0.8519571134126942
1,2600,5,172.2,700,0.28367271847132464,0.8519571134126942
1,2700,5,178.7,730,0.2976068093388908,0.8519571134126942
1,2800,5,185.9,753,0.24646758420132947,0.8519571134126942
1,2900,5,191.7,773,0.22256465052075097,0.8519571134126942
1,3000,5,196.9,789,0.17254447275296086,0.8519571134126942
1,3100,5,203.5,809,0.18596809997914426,0.8519571134126942
1,3200,5,209.7,829,0.20865633437344236,0.8519571134126942
1,3300,5,216.0,842,0.16704004734812525,0.8519571134126942
1,3400,5,221.9,863,0.2053514843756577,0.8519571134126942
1,3500,5,228.3,890,0.2549607125222866,0.8519571134126942
1,3600,5,235.1,912,0.23482839982434198,0.8519571134126942
1,3700,5,241.2,936,0.2418009949531729,0.8519571134126942
1,3800,5,247.9,955,0.20106804520881177,0.8519571134126942
1,3900,5,255.0,980,0.21655225042951687,0.8519571134126942
1,4000,5,261.4,1008,0.2540080070805764,0.8519571134126942
1,4100,5,268.5,1040,0.2631889639538492,0.8519571134126942
1,4200,5,275.6,1069,0.2777566020868789,0.8519571134126942
1,4300,5,282.3,1091,0.24892211771035846,0.8519571134126942
1,4400,5,288.3,1112,0.22602662624961967,0.8519571134126942
1,4500,5,294.9,1133,0.21990668586655476,0.8519571134126942
1,4600,5,300.8,1153,0.20925053602629964,0.8519571134126942
1,4700,5,306.7,1170,0.1827715728749111,0.8519571134126942
